signal, type    , CC0, CC1, CO
     1, PI      ,   1,   1,  6
     8, PI      ,   1,   1,  6
    13, PI      ,   1,   1,  6
    17, PI      ,   1,   1,  6
    26, PI      ,   1,   1,  6
    29, PI      ,   1,   1,  4
    36, PI      ,   1,   1,  4
    42, PI      ,   1,   1,  4
    51, PI      ,   1,   1,  6
    55, PI      ,   1,   1, 10
    59, PI      ,   1,   1,  5
    68, PI      ,   1,   1, 10
    72, PI      ,   1,   1, 33
    73, PI      ,   1,   1, 33
    74, PI      ,   1,   1, 11
    75, PI      ,   1,   1,  4
    80, PI      ,   1,   1,  4
    85, PI      ,   1,   1,  3
    86, PI      ,   1,   1,  3
    87, PI      ,   1,   1,  5
    88, PI      ,   1,   1,  5
    89, PI      ,   1,   1,  5
    90, PI      ,   1,   1,  4
    91, PI      ,   1,   1, 19
    96, PI      ,   1,   1, 19
   101, PI      ,   1,   1, 19
   106, PI      ,   1,   1, 19
   111, PI      ,   1,   1, 21
   116, PI      ,   1,   1, 21
   121, PI      ,   1,   1, 21
   126, PI      ,   1,   1, 38
   130, PI      ,   1,   1, 30
   135, PI      ,   1,   1, 30
   138, PI      ,   1,   1, 31
   143, PI      ,   1,   1, 29
   146, PI      ,   1,   1, 31
   149, PI      ,   1,   1, 31
   152, PI      ,   1,   1, 31
   153, PI      ,   1,   1, 31
   156, PI      ,   1,   1, 40
   159, PI      ,   1,   1, 26
   165, PI      ,   1,   1, 26
   171, PI      ,   1,   1, 26
   177, PI      ,   1,   1, 26
   183, PI      ,   1,   1, 27
   189, PI      ,   1,   1, 29
   195, PI      ,   1,   1, 29
   201, PI      ,   1,   1, 29
   207, PI      ,   1,   1, 30
   210, PI      ,   1,   1, 19
   219, PI      ,   1,   1, 25
   228, PI      ,   1,   1, 23
   237, PI      ,   1,   1, 26
   246, PI      ,   1,   1, 23
   255, PI      ,   1,   1, 21
   259, PI      ,   1,   1, 21
   260, PI      ,   1,   1, 21
   261, PI      ,   1,   1, 30
   267, PI      ,   1,   1, 21
   268, PI      ,   1,   1, 21
   269, INTERNAL,   5,   2,  2
   270, INTERNAL,   5,   2,  4
   273, INTERNAL,   2,   4,  7
   276, INTERNAL,   2,   4,  3
   279, INTERNAL,   5,   2, 36
   280, INTERNAL,   5,   2,  6
   284, INTERNAL,   5,   2, 29
   285, INTERNAL,   3,   2,  8
   286, INTERNAL,   4,   2,  8
   287, INTERNAL,   2,   4, 37
   290, INTERNAL,   2,   4,  1
   291, INTERNAL,   2,   4,  1
   292, INTERNAL,   2,   4,  1
   293, INTERNAL,   2,   4,  2
   294, INTERNAL,   2,   4, 39
   295, INTERNAL,   2,   4,  2
   296, INTERNAL,   2,   4,  2
   297, INTERNAL,   2,   3,  1
   298, INTERNAL,   3,   2,  3
   301, INTERNAL,   3,   2, 36
   302, INTERNAL,   3,   2, 36
   303, INTERNAL,   3,   2, 36
   304, INTERNAL,   3,   2, 36
   305, INTERNAL,   3,   2, 36
   306, INTERNAL,   3,   2, 36
   307, INTERNAL,   3,   2, 36
   308, INTERNAL,   3,   2, 36
   309, INTERNAL,   2,   3, 29
   310, INTERNAL,   2,   2, 20
   316, INTERNAL,   2,   3, 29
   317, INTERNAL,   2,   3, 29
   318, INTERNAL,   2,   3, 29
   319, INTERNAL,   3,   2, 38
   322, INTERNAL,   2,   3, 45
   323, INTERNAL,   2,   3, 45
   324, INTERNAL,   3,   2, 36
   325, INTERNAL,   3,   2, 36
   326, INTERNAL,   3,   2, 36
   327, INTERNAL,   3,   2, 36
   328, INTERNAL,   3,   2, 36
   329, INTERNAL,   3,   2, 36
   330, INTERNAL,   3,   2, 36
   331, INTERNAL,   3,   2, 36
   332, INTERNAL,   2,   3, 17
   333, INTERNAL,   2,   3, 17
   334, INTERNAL,   2,   3, 17
   335, INTERNAL,   2,   3, 17
   336, INTERNAL,   2,   3, 19
   337, INTERNAL,   2,   3, 19
   338, INTERNAL,   2,   3, 19
   339, INTERNAL,   2,   3, 19
   340, INTERNAL,   2,   3, 19
   341, INTERNAL,   2,   3, 19
   342, INTERNAL,   3,   6,  1
   343, INTERNAL,   5,   3,  7
   344, INTERNAL,   8,   3,  1
   345, INTERNAL,   5,   3, 35
   346, INTERNAL,   5,   3,  2
   347, INTERNAL,   3,   6, 35
   348, INTERNAL,   3,  11, 23
   349, INTERNAL,   9,   3,  2
   350, INTERNAL,  10,   3,  2
   351, INTERNAL,   5,   3,  1
   352, INTERNAL,   5,   3, 38
   353, INTERNAL,   5,   3,  1
   354, INTERNAL,   5,   3,  1
   355, INTERNAL,   4,   2,  2
   356, INTERNAL,   2,   4,  1
   357, INTERNAL,   5,   4, 33
   360, INTERNAL,   5,   4, 33
   363, INTERNAL,   5,   4, 33
   366, INTERNAL,   5,   4, 33
   369, INTERNAL,   3,   3, 19
   375, INTERNAL,   4,   5, 42
   376, INTERNAL,   5,   4, 33
   379, INTERNAL,   5,   4, 33
   382, INTERNAL,   5,   4, 33
   385, INTERNAL,   5,   4, 33
   388, PO      ,   3,   5,  0
   389, PO      ,   3,   5,  0
   390, PO      ,   3,   5,  0
   391, PO      ,   3,   4,  0
   392, INTERNAL,  11,   3,  1
   393, INTERNAL,   4,   6, 34
   399, INTERNAL,   4,   6,  1
   400, INTERNAL,   2,  13, 21
   401, INTERNAL,   4,  10,  1
   402, INTERNAL,   4,  11,  1
   403, INTERNAL,   3,   5,  1
   404, INTERNAL,   5,   6, 35
   405, INTERNAL,   5,   6, 35
   406, INTERNAL,   6,   9, 28
   407, INTERNAL,   5,   6, 35
   408, INTERNAL,   5,   6, 35
   409, INTERNAL,   6,   9, 28
   410, INTERNAL,  10,   4, 31
   411, INTERNAL,   5,   6, 35
   412, INTERNAL,   5,   6, 35
   413, INTERNAL,   6,   9, 28
   414, INTERNAL,   5,   6, 35
   415, INTERNAL,   5,   6, 35
   416, INTERNAL,   6,   9, 28
   417, INTERNAL,   2,   5, 17
   418, PO      ,   4,   7,  0
   419, PO      ,   9,   4,  0
   420, PO      ,   6,   4,  0
   421, PO      ,   6,   4,  0
   422, PO      ,   6,   4,  0
   423, PO      ,   3,   5,  0
   424, INTERNAL,  14,   3, 20
   425, INTERNAL,   6,  13, 28
   426, INTERNAL,   6,  13, 28
   427, INTERNAL,   2,  10, 31
   432, INTERNAL,   2,  12, 31
   437, INTERNAL,  12,   2, 29
   442, INTERNAL,  14,   2, 33
   443, INTERNAL,  10,   2, 30
   444, INTERNAL,   6,  13, 28
   445, INTERNAL,   6,  13, 28
   446, PO      ,  12,   4,  0
   447, PO      ,   5,   7,  0
   448, PO      ,   5,  11,  0
   449, PO      ,   5,  12,  0
   450, PO      ,   4,   6,  0
   451, INTERNAL,   4,  15, 19
   460, INTERNAL,  10,  13, 21
   463, INTERNAL,  10,  13, 21
