signal, type, CC0, CC1, CO, CC_avg, Testability, is_PI, is_PO
     1, PI  ,   1,   1,  6,    1.0,         7.0, True , False
     8, PI  ,   1,   1,  6,    1.0,         7.0, True , False
    13, PI  ,   1,   1,  6,    1.0,         7.0, True , False
    17, PI  ,   1,   1,  6,    1.0,         7.0, True , False
    26, PI  ,   1,   1,  6,    1.0,         7.0, True , False
    29, PI  ,   1,   1,  4,    1.0,         5.0, True , False
    36, PI  ,   1,   1,  4,    1.0,         5.0, True , False
    42, PI  ,   1,   1,  4,    1.0,         5.0, True , False
    51, PI  ,   1,   1,  6,    1.0,         7.0, True , False
    55, PI  ,   1,   1, 10,    1.0,        11.0, True , False
    59, PI  ,   1,   1,  5,    1.0,         6.0, True , False
    68, PI  ,   1,   1, 10,    1.0,        11.0, True , False
    72, PI  ,   1,   1, 33,    1.0,        34.0, True , False
    73, PI  ,   1,   1, 33,    1.0,        34.0, True , False
    74, PI  ,   1,   1, 11,    1.0,        12.0, True , False
    75, PI  ,   1,   1,  4,    1.0,         5.0, True , False
    80, PI  ,   1,   1,  4,    1.0,         5.0, True , False
    85, PI  ,   1,   1,  3,    1.0,         4.0, True , False
    86, PI  ,   1,   1,  3,    1.0,         4.0, True , False
    87, PI  ,   1,   1,  5,    1.0,         6.0, True , False
    88, PI  ,   1,   1,  5,    1.0,         6.0, True , False
    89, PI  ,   1,   1,  5,    1.0,         6.0, True , False
    90, PI  ,   1,   1,  4,    1.0,         5.0, True , False
    91, PI  ,   1,   1, 19,    1.0,        20.0, True , False
    96, PI  ,   1,   1, 19,    1.0,        20.0, True , False
   101, PI  ,   1,   1, 19,    1.0,        20.0, True , False
   106, PI  ,   1,   1, 19,    1.0,        20.0, True , False
   111, PI  ,   1,   1, 21,    1.0,        22.0, True , False
   116, PI  ,   1,   1, 21,    1.0,        22.0, True , False
   121, PI  ,   1,   1, 21,    1.0,        22.0, True , False
   126, PI  ,   1,   1, 38,    1.0,        39.0, True , False
   130, PI  ,   1,   1, 30,    1.0,        31.0, True , False
   135, PI  ,   1,   1, 30,    1.0,        31.0, True , False
   138, PI  ,   1,   1, 31,    1.0,        32.0, True , False
   143, PI  ,   1,   1, 29,    1.0,        30.0, True , False
   146, PI  ,   1,   1, 31,    1.0,        32.0, True , False
   149, PI  ,   1,   1, 31,    1.0,        32.0, True , False
   152, PI  ,   1,   1, 31,    1.0,        32.0, True , False
   153, PI  ,   1,   1, 31,    1.0,        32.0, True , False
   156, PI  ,   1,   1, 40,    1.0,        41.0, True , False
   159, PI  ,   1,   1, 26,    1.0,        27.0, True , False
   165, PI  ,   1,   1, 26,    1.0,        27.0, True , False
   171, PI  ,   1,   1, 26,    1.0,        27.0, True , False
   177, PI  ,   1,   1, 26,    1.0,        27.0, True , False
   183, PI  ,   1,   1, 27,    1.0,        28.0, True , False
   189, PI  ,   1,   1, 29,    1.0,        30.0, True , False
   195, PI  ,   1,   1, 29,    1.0,        30.0, True , False
   201, PI  ,   1,   1, 29,    1.0,        30.0, True , False
   207, PI  ,   1,   1, 30,    1.0,        31.0, True , False
   210, PI  ,   1,   1, 19,    1.0,        20.0, True , False
   219, PI  ,   1,   1, 25,    1.0,        26.0, True , False
   228, PI  ,   1,   1, 23,    1.0,        24.0, True , False
   237, PI  ,   1,   1, 26,    1.0,        27.0, True , False
   246, PI  ,   1,   1, 23,    1.0,        24.0, True , False
   255, PI  ,   1,   1, 21,    1.0,        22.0, True , False
   259, PI  ,   1,   1, 21,    1.0,        22.0, True , False
   260, PI  ,   1,   1, 21,    1.0,        22.0, True , False
   261, PI  ,   1,   1, 30,    1.0,        31.0, True , False
   267, PI  ,   1,   1, 21,    1.0,        22.0, True , False
   268, PI  ,   1,   1, 21,    1.0,        22.0, True , False
   388, PO  ,   3,   5,  0,    4.0,         4.0, False, True
   389, PO  ,   3,   5,  0,    4.0,         4.0, False, True
   390, PO  ,   3,   5,  0,    4.0,         4.0, False, True
   391, PO  ,   3,   4,  0,    3.5,         3.5, False, True
   418, PO  ,   4,   7,  0,    5.5,         5.5, False, True
   419, PO  ,   9,   4,  0,    6.5,         6.5, False, True
   420, PO  ,   6,   4,  0,    5.0,         5.0, False, True
   421, PO  ,   6,   4,  0,    5.0,         5.0, False, True
   422, PO  ,   6,   4,  0,    5.0,         5.0, False, True
   423, PO  ,   3,   5,  0,    4.0,         4.0, False, True
   446, PO  ,  12,   4,  0,    8.0,         8.0, False, True
   447, PO  ,   5,   7,  0,    6.0,         6.0, False, True
   448, PO  ,   5,  11,  0,    8.0,         8.0, False, True
   449, PO  ,   5,  12,  0,    8.5,         8.5, False, True
   450, PO  ,   4,   6,  0,    5.0,         5.0, False, True
   767, PO  ,  15,  23,  0,   19.0,        19.0, False, True
   768, PO  ,  15,  23,  0,   19.0,        19.0, False, True
   850, PO  ,  21,   8,  0,   14.5,        14.5, False, True
   863, PO  ,  19,   8,  0,   13.5,        13.5, False, True
   864, PO  ,  21,   8,  0,   14.5,        14.5, False, True
   865, PO  ,  21,   8,  0,   14.5,        14.5, False, True
   866, PO  ,  22,  12,  0,   17.0,        17.0, False, True
   874, PO  ,  19,   8,  0,   13.5,        13.5, False, True
   878, PO  ,  19,  10,  0,   14.5,        14.5, False, True
   879, PO  ,  19,   8,  0,   13.5,        13.5, False, True
   880, PO  ,  19,   8,  0,   13.5,        13.5, False, True
   269, NAND,   5,   2,  2,    3.5,         5.5, False, False
   270, NAND,   5,   2,  4,    3.5,         7.5, False, False
   273, AND ,   2,   4,  7,    3.0,        10.0, False, False
   276, AND ,   2,   4,  3,    3.0,         6.0, False, False
   279, NAND,   5,   2, 36,    3.5,        39.5, False, False
   280, NAND,   5,   2,  6,    3.5,         9.5, False, False
   284, NAND,   5,   2, 29,    3.5,        32.5, False, False
   285, NAND,   3,   2,  8,    2.5,        10.5, False, False
   286, NAND,   4,   2,  8,    3.0,        11.0, False, False
   287, AND ,   2,   4, 37,    3.0,        40.0, False, False
   290, AND ,   2,   4,  1,    3.0,         4.0, False, False
   291, AND ,   2,   4,  1,    3.0,         4.0, False, False
   292, AND ,   2,   4,  1,    3.0,         4.0, False, False
   293, AND ,   2,   4,  2,    3.0,         5.0, False, False
   294, AND ,   2,   4, 39,    3.0,        42.0, False, False
   295, AND ,   2,   4,  2,    3.0,         5.0, False, False
   296, AND ,   2,   4,  2,    3.0,         5.0, False, False
   297, AND ,   2,   3,  1,    2.5,         3.5, False, False
   298, OR  ,   3,   2,  3,    2.5,         5.5, False, False
   301, NAND,   3,   2, 36,    2.5,        38.5, False, False
   302, OR  ,   3,   2, 36,    2.5,        38.5, False, False
   303, NAND,   3,   2, 36,    2.5,        38.5, False, False
   304, OR  ,   3,   2, 36,    2.5,        38.5, False, False
   305, NAND,   3,   2, 36,    2.5,        38.5, False, False
   306, OR  ,   3,   2, 36,    2.5,        38.5, False, False
   307, NAND,   3,   2, 36,    2.5,        38.5, False, False
   308, OR  ,   3,   2, 36,    2.5,        38.5, False, False
   309, AND ,   2,   3, 29,    2.5,        31.5, False, False
   310, NOT ,   2,   2, 20,    2.0,        22.0, False, False
   316, AND ,   2,   3, 29,    2.5,        31.5, False, False
   317, AND ,   2,   3, 29,    2.5,        31.5, False, False
   318, AND ,   2,   3, 29,    2.5,        31.5, False, False
   319, NAND,   3,   2, 38,    2.5,        40.5, False, False
   322, NOR ,   2,   3, 45,    2.5,        47.5, False, False
   323, AND ,   2,   3, 45,    2.5,        47.5, False, False
   324, NAND,   3,   2, 36,    2.5,        38.5, False, False
   325, OR  ,   3,   2, 36,    2.5,        38.5, False, False
   326, NAND,   3,   2, 36,    2.5,        38.5, False, False
   327, OR  ,   3,   2, 36,    2.5,        38.5, False, False
   328, NAND,   3,   2, 36,    2.5,        38.5, False, False
   329, OR  ,   3,   2, 36,    2.5,        38.5, False, False
   330, NAND,   3,   2, 36,    2.5,        38.5, False, False
   331, OR  ,   3,   2, 36,    2.5,        38.5, False, False
   332, AND ,   2,   3, 17,    2.5,        19.5, False, False
   333, AND ,   2,   3, 17,    2.5,        19.5, False, False
   334, AND ,   2,   3, 17,    2.5,        19.5, False, False
   335, AND ,   2,   3, 17,    2.5,        19.5, False, False
   336, AND ,   2,   3, 19,    2.5,        21.5, False, False
   337, AND ,   2,   3, 19,    2.5,        21.5, False, False
   338, AND ,   2,   3, 19,    2.5,        21.5, False, False
   339, AND ,   2,   3, 19,    2.5,        21.5, False, False
