fault_number,net,site_type,gate,stuck_at
1,1,branch,269,1
2,1,branch,270,1
3,1,branch,276,1
4,1,branch,279,1
5,1,branch,280,1
6,1,branch,483,1
7,1,net,,0
8,1,net,,1
9,101,branch,303,1
10,101,branch,304,0
11,101,branch,334,1
12,101,branch,506,1
13,101,net,,0
14,101,net,,1
15,106,branch,303,1
16,106,branch,304,0
17,106,branch,335,1
18,106,branch,508,1
19,106,net,,0
20,106,net,,1
21,111,branch,305,1
22,111,branch,306,0
23,111,branch,336,1
24,111,branch,511,1
25,111,net,,0
26,111,net,,1
27,116,branch,305,1
28,116,branch,306,0
29,116,branch,338,1
30,116,branch,513,1
31,116,net,,0
32,116,net,,1
33,121,branch,307,1
34,121,branch,308,0
35,121,branch,340,1
36,121,branch,515,1
37,121,net,,0
38,121,net,,1
39,126,branch,307,1
40,126,branch,308,0
41,126,branch,517,1
42,126,net,,0
43,126,net,,1
44,13,branch,269,1
45,13,branch,270,1
46,13,branch,280,1
47,13,net,,0
48,13,net,,1
49,130,branch,498,1
50,130,branch,499,0
51,130,branch,518,1
52,130,branch,519,0
53,130,net,,0
54,130,net,,1
55,135,branch,500,1
56,135,branch,501,0
57,135,net,,0
58,135,net,,1
59,138,branch,309,1
60,138,branch,316,1
61,138,branch,317,1
62,138,branch,318,1
63,138,net,,0
64,138,net,,1
65,143,branch,475,1
66,143,branch,510,1
67,143,net,,0
68,143,net,,1
69,146,branch,477,1
70,146,branch,512,1
71,146,net,,0
72,146,net,,1
73,149,branch,479,1
74,149,branch,514,1
75,149,net,,0
76,149,net,,1
77,152,net,,0
78,152,net,,1
79,153,branch,481,1
80,153,branch,516,1
81,153,net,,0
82,153,net,,1
83,156,branch,319,1
84,156,branch,442,1
85,156,net,,0
86,156,net,,1
87,159,branch,324,1
88,159,branch,325,0
89,159,branch,522,1
90,159,branch,590,1
91,159,branch,593,0
92,159,net,,0
93,159,net,,1
94,165,branch,324,1
95,165,branch,325,0
96,165,branch,523,1
97,165,branch,597,1
98,165,branch,600,0
99,165,net,,0
100,165,net,,1
101,17,branch,269,1
102,17,branch,270,1
103,17,branch,279,1
104,17,branch,317,1
105,17,branch,322,0
106,17,branch,323,1
107,17,branch,432,1
108,17,branch,443,1
109,17,net,,0
110,17,net,,1
111,171,branch,326,1
112,171,branch,327,0
113,171,branch,524,1
114,171,branch,606,1
115,171,branch,609,0
116,171,net,,0
117,171,net,,1
118,177,branch,326,1
119,177,branch,327,0
120,177,branch,525,1
121,177,branch,616,1
122,177,branch,619,0
123,177,net,,0
124,177,net,,1
125,183,branch,328,1
126,183,branch,329,0
127,183,branch,526,1
128,183,branch,625,1
129,183,branch,628,0
130,183,net,,0
131,183,net,,1
132,189,branch,328,1
133,189,branch,329,0
134,189,branch,527,1
135,189,branch,632,1
136,189,branch,635,0
137,189,net,,0
138,189,net,,1
139,195,branch,330,1
140,195,branch,331,0
141,195,branch,528,1
142,195,branch,641,1
143,195,branch,644,0
144,195,net,,0
145,195,net,,1
146,201,branch,330,1
147,201,branch,331,0
