fault_number,net,site_type,gate,stuck_at
1,1,branch,269,0
2,1,branch,269,1
3,1,branch,270,0
4,1,branch,270,1
5,1,branch,276,0
6,1,branch,276,1
7,1,branch,279,0
8,1,branch,279,1
9,1,branch,280,0
10,1,branch,280,1
11,1,branch,483,0
12,1,branch,483,1
13,1,net,,0
14,1,net,,1
15,101,branch,303,0
16,101,branch,303,1
17,101,branch,304,0
18,101,branch,304,1
19,101,branch,334,0
20,101,branch,334,1
21,101,branch,506,0
22,101,branch,506,1
23,101,net,,0
24,101,net,,1
25,106,branch,303,0
26,106,branch,303,1
27,106,branch,304,0
28,106,branch,304,1
29,106,branch,335,0
30,106,branch,335,1
31,106,branch,508,0
32,106,branch,508,1
33,106,net,,0
34,106,net,,1
35,111,branch,305,0
36,111,branch,305,1
37,111,branch,306,0
38,111,branch,306,1
39,111,branch,336,0
40,111,branch,336,1
41,111,branch,511,0
42,111,branch,511,1
43,111,net,,0
44,111,net,,1
45,116,branch,305,0
46,116,branch,305,1
47,116,branch,306,0
48,116,branch,306,1
49,116,branch,338,0
50,116,branch,338,1
51,116,branch,513,0
52,116,branch,513,1
53,116,net,,0
54,116,net,,1
55,121,branch,307,0
56,121,branch,307,1
57,121,branch,308,0
58,121,branch,308,1
59,121,branch,340,0
60,121,branch,340,1
61,121,branch,515,0
62,121,branch,515,1
63,121,net,,0
64,121,net,,1
65,126,branch,307,0
66,126,branch,307,1
67,126,branch,308,0
68,126,branch,308,1
69,126,branch,517,0
70,126,branch,517,1
71,126,net,,0
72,126,net,,1
73,13,branch,269,0
74,13,branch,269,1
75,13,branch,270,0
76,13,branch,270,1
77,13,branch,280,0
78,13,branch,280,1
79,13,net,,0
80,13,net,,1
81,130,branch,498,0
82,130,branch,498,1
83,130,branch,499,0
84,130,branch,499,1
85,130,branch,518,0
86,130,branch,518,1
87,130,branch,519,0
88,130,branch,519,1
89,130,net,,0
90,130,net,,1
91,135,branch,500,0
92,135,branch,500,1
93,135,branch,501,0
94,135,branch,501,1
95,135,net,,0
96,135,net,,1
97,138,branch,309,0
98,138,branch,309,1
99,138,branch,316,0
100,138,branch,316,1
101,138,branch,317,0
102,138,branch,317,1
103,138,branch,318,0
104,138,branch,318,1
105,138,net,,0
106,138,net,,1
107,143,branch,475,0
108,143,branch,475,1
109,143,branch,510,0
110,143,branch,510,1
111,143,net,,0
112,143,net,,1
113,146,branch,477,0
114,146,branch,477,1
115,146,branch,512,0
116,146,branch,512,1
117,146,net,,0
118,146,net,,1
119,149,branch,479,0
120,149,branch,479,1
121,149,branch,514,0
122,149,branch,514,1
123,149,net,,0
124,149,net,,1
125,152,net,,0
126,152,net,,1
127,153,branch,481,0
128,153,branch,481,1
129,153,branch,516,0
130,153,branch,516,1
131,153,net,,0
132,153,net,,1
133,156,branch,319,0
134,156,branch,319,1
135,156,branch,442,0
136,156,branch,442,1
137,156,net,,0
138,156,net,,1
139,159,branch,324,0
140,159,branch,324,1
141,159,branch,325,0
142,159,branch,325,1
143,159,branch,522,0
144,159,branch,522,1
145,159,branch,590,0
146,159,branch,590,1
147,159,branch,593,0
148,159,branch,593,1
149,159,net,,0
150,159,net,,1
151,165,branch,324,0
152,165,branch,324,1
153,165,branch,325,0
154,165,branch,325,1
155,165,branch,523,0
156,165,branch,523,1
157,165,branch,597,0
158,165,branch,597,1
159,165,branch,600,0
160,165,branch,600,1
161,165,net,,0
162,165,net,,1
163,17,branch,269,0
164,17,branch,269,1
165,17,branch,270,0
166,17,branch,270,1
167,17,branch,279,0
168,17,branch,279,1
169,17,branch,317,0
170,17,branch,317,1
171,17,branch,322,0
172,17,branch,322,1
173,17,branch,323,0
174,17,branch,323,1
175,17,branch,432,0
176,17,branch,432,1
177,17,branch,443,0
178,17,branch,443,1
179,17,net,,0
180,17,net,,1
181,171,branch,326,0
182,171,branch,326,1
183,171,branch,327,0
184,171,branch,327,1
185,171,branch,524,0
186,171,branch,524,1
187,171,branch,606,0
188,171,branch,606,1
189,171,branch,609,0
190,171,branch,609,1
191,171,net,,0
192,171,net,,1
193,177,branch,326,0
194,177,branch,326,1
195,177,branch,327,0
196,177,branch,327,1
197,177,branch,525,0
198,177,branch,525,1
199,177,branch,616,0
200,177,branch,616,1
201,177,branch,619,0
202,177,branch,619,1
203,177,net,,0
204,177,net,,1
205,183,branch,328,0
206,183,branch,328,1
207,183,branch,329,0
208,183,branch,329,1
209,183,branch,526,0
210,183,branch,526,1
211,183,branch,625,0
212,183,branch,625,1
213,183,branch,628,0
214,183,branch,628,1
215,183,net,,0
216,183,net,,1
217,189,branch,328,0
218,189,branch,328,1
219,189,branch,329,0
220,189,branch,329,1
221,189,branch,527,0
222,189,branch,527,1
223,189,branch,632,0
224,189,branch,632,1
225,189,branch,635,0
226,189,branch,635,1
227,189,net,,0
228,189,net,,1
229,195,branch,330,0
230,195,branch,330,1
231,195,branch,331,0
232,195,branch,331,1
233,195,branch,528,0
234,195,branch,528,1
235,195,branch,641,0
236,195,branch,641,1
237,195,branch,644,0
238,195,branch,644,1
239,195,net,,0
240,195,net,,1
241,201,branch,330,0
242,201,branch,330,1
243,201,branch,331,0
244,201,branch,331,1
245,201,branch,529,0
246,201,branch,529,1
247,201,branch,651,0
248,201,branch,651,1
249,201,branch,654,0
250,201,branch,654,1
251,201,net,,0
252,201,net,,1
253,207,branch,520,0
254,207,branch,520,1
255,207,branch,521,0
256,207,branch,521,1
257,207,net,,0
258,207,net,,1
259,210,branch,332,0
260,210,branch,332,1
261,210,branch,333,0
262,210,branch,333,1
263,210,branch,334,0
264,210,branch,334,1
265,210,branch,335,0
266,210,branch,335,1
267,210,branch,336,0
268,210,branch,336,1
269,210,branch,338,0
270,210,branch,338,1
271,210,branch,340,0
272,210,branch,340,1
273,210,branch,417,0
274,210,branch,417,1
275,210,net,,0
276,210,net,,1
277,219,branch,794,0
278,219,branch,794,1
279,219,branch,808,0
280,219,branch,808,1
281,219,branch,809,0
282,219,branch,809,1
283,219,branch,810,0
284,219,branch,810,1
285,219,branch,836,0
286,219,branch,836,1
287,219,branch,851,0
288,219,branch,851,1
289,219,branch,852,0
290,219,branch,852,1
291,219,branch,853,0
292,219,branch,853,1
293,219,net,,0
294,219,net,,1
295,228,branch,736,0
296,228,branch,736,1
297,228,branch,739,0
298,228,branch,739,1
299,228,branch,742,0
300,228,branch,742,1
301,228,branch,745,0
302,228,branch,745,1
303,228,branch,748,0
304,228,branch,748,1
305,228,branch,751,0
306,228,branch,751,1
307,228,branch,754,0
308,228,branch,754,1
309,228,branch,759,0
310,228,branch,759,1
311,228,net,,0
312,228,net,,1
313,237,branch,737,0
314,237,branch,737,1
315,237,branch,740,0
316,237,branch,740,1
317,237,branch,743,0
318,237,branch,743,1
319,237,branch,746,0
320,237,branch,746,1
321,237,branch,749,0
322,237,branch,749,1
323,237,branch,752,0
324,237,branch,752,1
325,237,branch,755,0
326,237,branch,755,1
327,237,branch,760,0
328,237,branch,760,1
329,237,net,,0
330,237,net,,1
331,246,branch,596,0
332,246,branch,596,1
333,246,branch,605,0
334,246,branch,605,1
335,246,branch,615,0
336,246,branch,615,1
337,246,branch,624,0
338,246,branch,624,1
339,246,branch,631,0
340,246,branch,631,1
341,246,branch,640,0
342,246,branch,640,1
343,246,branch,650,0
344,246,branch,650,1
345,246,branch,659,0
346,246,branch,659,1
347,246,net,,0
348,246,net,,1
349,255,branch,337,0
350,255,branch,337,1
351,255,branch,339,0
352,255,branch,339,1
353,255,branch,341,0
354,255,branch,341,1
355,255,net,,0
356,255,net,,1
357,259,net,,0
358,259,net,,1
359,26,branch,270,0
360,26,branch,270,1
361,26,branch,276,0
362,26,branch,276,1
363,26,net,,0
364,26,net,,1
365,260,net,,0
366,260,net,,1
367,261,branch,732,0
368,261,branch,732,1
369,261,branch,733,0
370,261,branch,733,1
371,261,branch,734,0
372,261,branch,734,1
373,261,branch,757,0
374,261,branch,757,1
375,261,branch,758,0
376,261,branch,758,1
377,261,net,,0
378,261,net,,1
379,267,net,,0
380,267,net,,1
381,268,net,,0
382,268,net,,1
383,269,net,,0
384,269,net,,1
385,270,branch,344,0
386,270,branch,344,1
387,270,branch,392,0
388,270,branch,392,1
389,270,net,,0
390,270,net,,1
391,273,branch,343,0
392,273,branch,343,1
393,273,branch,344,0
394,273,branch,344,1
395,273,net,,0
396,273,net,,1
397,276,branch,345,0
398,276,branch,345,1
399,276,branch,346,0
400,276,branch,346,1
401,276,net,,0
402,276,net,,1
403,279,net,,0
404,279,net,,1
405,280,branch,348,0
406,280,branch,348,1
407,280,branch,349,0
408,280,branch,349,1
409,280,branch,350,0
410,280,branch,350,1
411,280,net,,0
412,280,net,,1
413,284,net,,0
414,284,net,,1
415,285,net,,0
416,285,net,,1
417,286,net,,0
418,286,net,,1
419,287,branch,432,0
420,287,branch,432,1
421,287,branch,437,0
422,287,branch,437,1
423,287,net,,0
424,287,net,,1
425,29,branch,273,0
426,29,branch,273,1
427,29,branch,285,0
428,29,branch,285,1
429,29,branch,287,0
430,29,branch,287,1
431,29,branch,290,0
432,29,branch,290,1
433,29,branch,291,0
434,29,branch,291,1
435,29,branch,292,0
436,29,branch,292,1
437,29,net,,0
438,29,net,,1
439,290,net,,0
440,290,net,,1
441,291,net,,0
442,291,net,,1
443,292,net,,0
444,292,net,,1
445,293,net,,0
446,293,net,,1
447,294,net,,0
448,294,net,,1
449,295,net,,0
450,295,net,,1
451,296,net,,0
452,296,net,,1
453,297,net,,0
454,297,net,,1
455,298,branch,355,0
456,298,branch,355,1
457,298,branch,356,0
458,298,branch,356,1
459,298,net,,0
460,298,net,,1
461,301,net,,0
462,301,net,,1
463,302,net,,0
464,302,net,,1
465,303,net,,0
466,303,net,,1
467,304,net,,0
468,304,net,,1
469,305,net,,0
470,305,net,,1
471,306,net,,0
472,306,net,,1
473,307,net,,0
474,307,net,,1
475,308,net,,0
476,308,net,,1
477,309,net,,0
478,309,net,,1
479,310,branch,369,0
480,310,branch,369,1
481,310,branch,476,0
482,310,branch,476,1
483,310,branch,478,0
484,310,branch,478,1
485,310,branch,480,0
486,310,branch,480,1
487,310,branch,482,0
488,310,branch,482,1
489,310,net,,0
490,310,net,,1
491,316,net,,0
492,316,net,,1
493,317,net,,0
494,317,net,,1
495,318,net,,0
496,318,net,,1
497,319,branch,427,0
498,319,branch,427,1
499,319,branch,443,0
500,319,branch,443,1
501,319,net,,0
502,319,net,,1
503,322,net,,0
504,322,net,,1
505,323,net,,0
506,323,net,,1
507,324,net,,0
508,324,net,,1
509,325,net,,0
510,325,net,,1
511,326,net,,0
512,326,net,,1
513,327,net,,0
514,327,net,,1
515,328,net,,0
516,328,net,,1
517,329,net,,0
518,329,net,,1
519,330,net,,0
520,330,net,,1
521,331,net,,0
522,331,net,,1
523,332,net,,0
524,332,net,,1
525,333,net,,0
526,333,net,,1
527,334,net,,0
528,334,net,,1
529,335,net,,0
530,335,net,,1
531,336,net,,0
532,336,net,,1
533,337,net,,0
534,337,net,,1
535,338,net,,0
536,338,net,,1
537,339,net,,0
538,339,net,,1
539,340,net,,0
540,340,net,,1
541,341,net,,0
542,341,net,,1
543,342,net,,0
544,342,net,,1
545,343,net,,0
546,343,net,,1
547,344,net,,0
548,344,net,,1
549,345,net,,0
550,345,net,,1
551,346,net,,0
552,346,net,,1
553,347,net,,0
554,347,net,,1
555,348,net,,0
556,348,net,,1
557,349,net,,0
558,349,net,,1
559,350,net,,0
560,350,net,,1
561,351,net,,0
562,351,net,,1
563,352,net,,0
564,352,net,,1
565,353,net,,0
566,353,net,,1
567,354,net,,0
568,354,net,,1
569,355,net,,0
570,355,net,,1
571,356,net,,0
572,356,net,,1
573,357,branch,404,0
574,357,branch,404,1
575,357,branch,406,0
576,357,branch,406,1
577,357,net,,0
578,357,net,,1
579,36,branch,273,0
580,36,branch,273,1
581,36,branch,291,0
582,36,branch,291,1
583,36,branch,292,0
584,36,branch,292,1
