fault_id,fault,fault_type,source,location,is_branch,first_detecting_vector,detecting_vector_count,total_po_mismatches,detected
1,1->269/SA1,SA1,1,269,True,17.0,63,63,True
2,1->270/SA1,SA1,1,270,True,5.0,63,63,True
3,1->276/SA1,SA1,1,276,True,5.0,137,222,True
4,1->279/SA1,SA1,1,279,True,17.0,33,61,True
5,1->280/SA1,SA1,1,280,True,71.0,22,26,True
6,1->483/SA1,SA1,1,483,True,1.0,327,524,True
7,1/SA0,SA0,1,1,False,9.0,392,829,True
8,1/SA1,SA1,1,1,False,1.0,410,872,True
9,101->303/SA1,SA1,101,303,True,7.0,249,249,True
10,101->304/SA0,SA0,101,304,True,6.0,247,247,True
11,101->334/SA1,SA1,101,334,True,8.0,111,111,True
12,101->506/SA1,SA1,101,506,True,144.0,5,6,True
13,101/SA0,SA0,101,101,False,2.0,509,659,True
14,101/SA1,SA1,101,101,False,1.0,515,632,True
15,106->303/SA1,SA1,106,303,True,6.0,247,247,True
16,106->304/SA0,SA0,106,304,True,7.0,249,249,True
17,106->335/SA1,SA1,106,335,True,6.0,123,123,True
18,106->508/SA1,SA1,106,508,True,137.0,6,6,True
19,106/SA0,SA0,106,106,False,2.0,511,647,True
20,106/SA1,SA1,106,106,False,1.0,513,642,True
21,111->305/SA1,SA1,111,305,True,5.0,263,263,True
22,111->306/SA0,SA0,111,306,True,1.0,236,236,True
23,111->336/SA1,SA1,111,336,True,5.0,93,93,True
24,111->511/SA1,SA1,111,511,True,56.0,13,18,True
25,111/SA0,SA0,111,111,False,1.0,514,621,True
26,111/SA1,SA1,111,111,False,5.0,510,621,True
27,116->305/SA1,SA1,116,305,True,1.0,236,236,True
28,116->306/SA0,SA0,116,306,True,5.0,263,263,True
29,116->338/SA1,SA1,116,338,True,4.0,91,91,True
30,116->513/SA1,SA1,116,513,True,176.0,9,9,True
31,116/SA0,SA0,116,116,False,2.0,541,653,True
32,116/SA1,SA1,116,116,False,1.0,483,583,True
33,121->307/SA1,SA1,121,307,True,1.0,265,265,True
34,121->308/SA0,SA0,121,308,True,4.0,250,250,True
35,121->340/SA1,SA1,121,340,True,2.0,96,96,True
36,121->515/SA1,SA1,121,515,True,39.0,10,10,True
37,121/SA0,SA0,121,121,False,4.0,489,588,True
38,121/SA1,SA1,121,121,False,1.0,535,641,True
39,126->307/SA1,SA1,126,307,True,4.0,250,250,True
40,126->308/SA0,SA0,126,308,True,1.0,265,265,True
41,126->517/SA1,SA1,126,517,True,39.0,14,15,True
42,126/SA0,SA0,126,126,False,1.0,504,519,True
43,126/SA1,SA1,126,126,False,2.0,520,535,True
44,13->269/SA1,SA1,13,269,True,29.0,58,58,True
45,13->270/SA1,SA1,13,270,True,21.0,65,65,True
46,13->280/SA1,SA1,13,280,True,13.0,20,25,True
47,13/SA0,SA0,13,13,False,9.0,91,136,True
48,13/SA1,SA1,13,13,False,13.0,111,148,True
49,130->498/SA1,SA1,130,498,True,7.0,250,250,True
50,130->499/SA0,SA0,130,499,True,2.0,276,276,True
51,130->518/SA1,SA1,130,518,True,3.0,226,226,True
52,130->519/SA0,SA0,130,519,True,5.0,287,287,True
53,130/SA0,SA0,130,130,False,2.0,552,1104,True
54,130/SA1,SA1,130,130,False,1.0,472,944,True
55,135->500/SA1,SA1,135,500,True,11.0,262,262,True
56,135->501/SA0,SA0,135,501,True,1.0,257,257,True
