vector_id,input_vector,po_vector,simulation_time_s
1,001000001000000010110011100100101110101011000010001111011010,00000111111000011111110110,0.006260866000047827
2,000111010001110010111010011110010000010111100110110101001001,00000111111000011011101111,0.001539340999443084
3,001100110000010001011001111100001000000000100110010110001111,00000111101000001011101111,0.0010894039996856009
4,100011000010101100100000011101001011111100100010010000000100,00000111101000010111001000,0.00058892799916066
5,001110101101110010001010011011010010001101011100110010101100,00000111111000010110101000,0.002244785999209853
6,000101001101000110000100110100101001110000111011110010100111,00000111101000010101101101,0.0002759950002655387
7,101010100110110111111001101101101111101001100100000010110111,00010100101000011101000000,0.0002670579997356981
8,000010010001011111011101101101011100001000111110011011011110,00000111101000110111000011,0.0014055709998501698
9,101110111010010010100111011111110100100000000001001110001001,00000010001100000100100011,0.0007536960001743864
10,110000100111010110111010111111001101110110101111100001101110,00000100111000011100111100,0.0006522860003315145
11,010101111111111100010000111001010100100101001111100110011000,10100111001000011111110111,0.0009248950000255718
12,010001011111100001000000011110011100101000100001110111111001,00000111101000000111101111,0.00030600099944422254
13,110000100111011011111001111101011101011001110010111000010100,00010110101000000111111011,0.0002728079998632893
14,010011111101010001111011101111111001010111101001010100100111,00110111111000010111100111,0.0002672079999683774
15,101111000100100101001011110010000101001111011001111111011001,00000011111000000110101111,0.00026306099971407093
16,111011001101001000110100111000110111101000110101011111001010,00000111101110111111011111,0.00036318699949333677
17,011100001100001111010111010110101101100100001000000010010010,00000111111000101000000000,0.00042941099945892347
18,000010100100100111010011001110110010001111110001101111101111,00000111111000001110101111,0.0003345539998917957
19,101000010100101110111000100110101010011110001000001111011100,00000111101000010110000100,0.0002704540002014255
20,000011111110011011100100010011100110010101010101111101010110,01110110001000001111101111,0.00026587599950289587
21,100110111010000110000100000111110101111010111001100110101100,00000100001100011111111111,0.0005878740003026905
22,101000011011111101010111010011100111001101100110000010010100,00000111111000110000000010,0.0005989170003886102
23,001011011100110111111000101100100110100110101101010010100011,10010111101000001111000101,0.0005525500000658212
24,011000100101010001100100011010100100110111010100100110110001,00010111101000001001111110,0.0005566089994317736
25,010000111110011011011111101111010101100111110111011100110001,00000110011000110111111111,0.000302293999993708
26,000011100111100111100001101110110000101011011001000001011100,01010100101000010100100000,0.0002687719997993554
27,011111001011100010001001011010101000010000101011110111000111,00000111101000001110101111,0.00029149400052119745
28,101011110101010110000111001100111110011001001111001011110100,11100111101000000001001011,0.0002659460005816072
29,110111000111100100001110011011111101101101100101000000111010,00000111111000111101110000,0.0002607970000099158
30,110001111011111001101101111110111010101111001100000000011100,00110111001000111000000000,0.0002607460000945139
31,001110111000001001101001011110110010110011001110100011001101,00010111101000011010100000,0.0003134850003334577
32,111011000110110110001011110001100000011001010101101101100001,00000101111000011101001010,0.00027076500009570736
33,100010110011111100100100001111001101000100000010001100001011,00000111001000011000100000,0.00026389199956611264
34,010011100110111110110100101011010101011000110000101100001001,01000100101000110101000111,0.00028728600045724306
35,011111111110110111000011100101011111101001000000100000011011,11100100001000001000010000,0.00026463399990461767
36,001001101000000111101110010001111000011100001100100100010100,01010111111000110111000000,0.00026298000011593103
37,111001001001110111011101010001010111000111100001110001011011,00000111101000100100011110,0.0002601850001155981
38,100010011110001111101101010010111111101101101111011111000010,00010101101100101111111111,0.00028476100033003604
39,110110101011011110100010011100010011110101011000111101110111,00000100101100001111001111,0.00026478400013729697
40,010001000001110100110011100010001101011111011101001001001011,00000111111000000101111111,0.0002616380006656982
41,011010011001101010011111110000101010110011010100101110100011,00000111111000111111101110,0.00028024299990647705
42,000001101111001010000101101111001111110011010101111101100010,01000110101000010111111111,0.000292665999950259
43,001101001010110100110100001000100101010010001110100000110011,00000111101000101101010000,0.0002634719994603074
44,000001111001001010011001100100110111010000100011111001010001,01100111101000011111101111,0.00026116699973499635
45,101100001010100000011101010011101011101010100000000111000101,00000111101000100000000101,0.0002743719996942673
46,011101000001011110101011011100001001010110001100100011100010,00000111111000010101000000,0.0002631409997775336
47,010011111111000000001111010111100010010001101100110010000000,00100111011000101111101010,0.0002612770003906917
48,011010000100100100111011010011100011110011010001111111100100,00000111111000011111101111,0.0002815649995682179
49,101100000100110001101001101000000101001010000010110111001110,00010111101000011010100111,0.00026098699981957907
50,100111000100100101001100110100011000111011111010010010110010,00000111101000111101001001,0.00026385199998912867
51,100011010100010011110001100101011000001010111110101110101111,00010111101000000111101101,0.00036867800008622
52,010000110011101101000100000010100110011111010100000111111100,00000111001000000111111110,0.0005396659998950781
53,110101100111011111000111110010111000110000000010101111000111,01000100101000011100100000,0.0005563370004892931
54,011101010100000011001000011111111011100111010111111000011001,00000111101000000111101111,0.00226790900069318
55,111110010111001010101001011111110100100111000011101001101001,00001011101001000100110111,0.0005074369992144057
56,100010011111100010100000110011000111110111001000000001011000,00000111101100001001111011,0.000513857999976608
57,000111011000110101001001001011100101100000100001011110000111,10000111101000010111100111,0.0004998320000595413
58,100000011110110011111110000001110110011011001100101011100001,00010111111000110011011010,0.00048581600003672065
59,100110110011001110111010011000101110011111000011110001010100,00000100011000001010001001,0.000503199000377208
60,010101010011010011000011110111110011100011001011111000100001,00000111101000001111101111,0.0004962849998264574
61,011001001100101011110010101001100000101110010110001011101000,00010111111000000110101100,0.0005213720005485811
62,011010011110100110001101110111010100000001001000110000010011,00000101101000110101111111,0.0005166339997231262
63,111110100000101101111010001101100000101010100001000010101001,00011011111000001000100000,0.0005712950005545281
64,110001001111101110010011101111111000100100001001101101010110,00000101111000010110100000,0.0005548449998968863
65,000100011001001100011110010110111011011111001000100001001101,00000111111000101111000000,0.0005427219994089683
66,110010000000000101010011100100101100110000100010001001110101,00000111111000010101101101,0.0004654479998862371
67,110101100111000001011100111111101101111110001000110010001100,00000111101000101111111101,0.0005099609998069354
68,101001110011001000001000011111000011110011010100110111110111,00100111001000011111101110,0.0005096000004414236
69,010101001110101011001110100100010000100001001111110110001101,00000111111000111111100111,0.0005013449999751174
70,101011000101110101111011011111100001011000100110111101000011,00010111111000010111101111,0.000444879000497167
71,011111110101001111101110011100010111111111100000100010001001,11110111111000101000010101,0.0004762480002682423
72,001001100110000011111100111110011111010001110111011001011100,01010110101000111011101101,0.0005208419997870806
73,110101011110000101111010000001101000001011111101000110100110,10010111111000011111001111,0.0004954539999744156
74,001100010011110001110100001100101000101000101001000101110011,00010111101000101111100001,0.0005079680004200782
75,010111100111100011111010010101010111100000000010001110100001,01010110111000000011101101,0.000495413999487937
76,010111010010000010000101110001101111111100111111001001010010,00000111101000000111101111,0.0005373320000217063
77,100011001100110100110101010011110001010101000110011100101011,00000111101100100101101110,0.0005012550000174087
78,011001011000011100111101101011010001000000101011101000110010,10000111101000100111100001,0.000538134000635182
79,100101010011100110101100010001111001111010110100110010100111,10000101101000110100001100,0.0004999820002922206
80,100000101001000100111111000000100001010110111000001011000001,00000111111000100010001101,0.0005525609994947445
81,111011011100110010100111111011001100001111001010110000110101,00000111101100011111111111,0.0004810169994016178
82,100100000111110000010111010011110001000001000110001001011001,00000111111000100001100010,0.00046442599978036014
83,111010110011100000111111011100100001001101100011011100111000,00000111011000110111101011,0.00046710100014024647
84,111100101111011001100101101001101101011101001000101001111000,00011111101001001111111111,0.0005094799998914823
85,001100100110010101001111010010000111010001110001001001101111,00000111111000110111101101,0.0004914870005450211
86,001001011110001110111100101110110010101111000110101110001011,10000101101000100111101110,0.0005141790006746305
87,010110011100000001111001111100101010010100111111100100111010,00010111101000011101101001,0.0004967570002918364
88,000001100011101111100101011100110100110001010101111111100110,01010100101000000111101011,0.0004944920001435094
89,100101100011011100001101010010001110100101000111110111101011,00000111101000101101101111,0.00051382800029387
90,110011111101110010100001001101100000000001000111011111001011,01100111101100010111100110,0.000492608999593358
91,101101010101001001100001101000110110111100011011110011011000,00010111101000010010001011,0.0005168340003365302
92,101101101000000110111001010100100000101000000101000010001111,01000111101000000000000000,0.0005225539998718887
93,001000100101010100001001000001110001110000101110000010101000,00000111101000001001100000,0.0005437439995148452
94,011000011011110000001000111010010001010011010010110101101000,00000111101000010011101111,0.0005526310005734558
95,100111010100001101110100110001001011101100010011000110101101,10010111101000101100101000,0.000529576999724668
96,011001101110010100111011000010010011111001111011110010010100,00000111111000010110100010,0.00047348299995064735
97,010010001101111010000111111110101011100111001000000010111000,00000111101000001011100000,0.0005363699992813054
98,110110100110110011110110100010101101000100010101101101111011,00010110111000100101101101,0.0005608949995803414
99,111001111011000011101001110100011101111000011101101000110111,01110110001000000111100111,0.0005574799997702939
100,110101000110100111101100000111110100011111000000011000011110,00010101101000111101111011,0.0005251389993645716
101,110100000010000100011000001010010000001000111000000010000110,00000111101000010000000000,0.0005455380005514598
102,100111001010100111001101111101110011001011000110001010100111,00000101101100101101001110,0.0005307299998094095
103,111111101001110000001001101001101111100101111110001011011101,00001011101100000111111111,0.0004965960006302339
104,110011111110000110110111110000100101001011110101111010011101,11100100011100101001111111,0.0003658320001704851
105,110100110110001101101011110111100010111001100011110011101010,00010111011000011101101011,0.0002648330000738497
106,000001111100010011001000110110100001100011101000001111011011,01100111101000010011100111,0.0002664069997990737
107,101011110000111100110111001001110101111100101111000100101100,10100111111000110111101001,0.00028878899956907844
108,000111101011001101100000101001110010001110000111101001010100,00010111101000010110001100,0.0002652449993547634
109,110101100101101110000101100111110001011100110101001111111110,01000111101000011101101001,0.00026228899969282793
110,110100000001101101011111000100100100010010101011010001111010,00000111111000111101111111,0.00026197900024271803
111,110001100101100100001110011110101011111101101100110010111011,00000111111000101111101100,0.00027521399988472695
112,001011000011011110001001001111111000010100100011111111000000,00000101101000001111100011,0.0002633009999044589
113,000010010011011000011101001101001111011110001101110111100101,00000111101000111111001110,0.0002628700003697304
114,110011011111001010000101110000111000011000011110100011000000,00000111101100000000001000,0.0003123639999103034
115,001011100110001100111001111001001111101000011101010001111110,00000111101000000111101011,0.00027539399980014423
116,101101110100110100110001011001110001101100111010010110011000,10100111101000001110101011,0.00026959199931297917
117,101010111111111000110001100101001100011111100010110010010011,00000111001100011101110111,0.00028714599920931505
118,111110011101011011011000100000100001001011010110101110000100,00001011101100000111111111,0.0002997800002049189
119,100110010001101011110000011010111010100100011100010011001100,00010111101000000010101000,0.0002678099999684491
120,011111010001010011011111011011000100011100010111100011010001,00000111111000111100001101,0.00026710800011642277
121,100100110110001011000000010100110101111011100011110101000100,00000110001000001101111111,0.00027891999980056426
122,001100011011001010100101000011000101100001110100111101011000,00000111101000011111101111,0.00026520499977777945
123,000011111000000111100111110000011000010111111100101000010011,11110111101000010011001111,0.00034856999991461635
124,101001001000110100001001010000010001010110110100000011110001,00000111101000011001000000,0.0004636040002878872
125,010010100100111101111111000010101110110001110011111111111100,00010111111000100111111111,0.0004328880004322855
126,101010101000010010111100101111101010001011101011011010010111,00000111101100110111100111,0.00044455999977799365
127,011111000011101010101110000010000110010101001110001101000111,00000111111000110111111111,0.00043303700022079283
128,010110001010111100111110100111001000110011010011101001001111,00000111111000110001101110,0.0004749350000565755
129,010010011110001011000001010001011000010011100010010000100100,00000111101000011100001010,0.00046388500049943104
130,000001011001100001100110101001100011100101101011010110000010,00010111101000001111100011,0.0005013250001866254
131,100001110010001101101100110000011010010000000000011100010011,10110111001000101000001101,0.0003821720001724316
132,101101110111101011010011111111010100000111111111010010011111,01100110011000001111111111,0.00027084599969384726
133,011001010011010000011001011111100101011001000111100100010010,00000111101000011000101110,0.0003127629997834447
134,000001110001010101001100010000011111111110111011001100010111,10100111101000111111101111,0.00027388099988456815
135,100101011011011101100001011010100000010011101100101001111001,10010111101000010011100111,0.00027009399946109625
136,010001001011010011110001011010110100110110111010000011100111,00010111101000000100111110,0.0002863139998225961
137,111101101001011001110000010011000110001101000011101011111000,00011111101000010111110111,0.0002685710005607689
138,001001100111100100101100000001100000010001101001011011100000,00000111101000100110000011,0.00026495400015846826
139,001000110101110110110001010101110001001010111001001010001101,00000111101000000111101101,0.00026296000032743905
140,110001101110100001101011011111101011100000000110101101000110,00010111111000001101100000,0.0002947999992102268
141,010000101011101010011111001010110101111001011001100010100101,00000110111000110100011010,0.00032514600025024265
142,111110101100110100010011100011011101110000001000110111110100,00001011111100001111101111,0.00026983299994753907
143,001010101000000010100100001110011101010111110100000101110101,00000111101000010001011111,0.00029454899959091563
144,111100001111010100000001001110000011111010110010100011001111,00001111101000001011011100,0.0003905869998561684
145,100000011101100000100101000001110101110010101001101011010101,00000111101000000010101111,0.0005736389994126512
146,101010100010101001000010110000110000000100001000110111000100,00000111101000001010001001,0.0006025040001986781
