vector_id, input_vector                                                , PO_388, PO_389, PO_390, PO_391, PO_418, PO_419, PO_420, PO_421, PO_422, PO_423, PO_446, PO_447, PO_448, PO_449, PO_450, PO_767, PO_768, PO_850, PO_863, PO_864, PO_865, PO_866, PO_874, PO_878, PO_879, PO_880
        1, 001000001000000010110011100100101110101011000010001111011010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      0,      1,      1,      0
        2, 000111010001110010111010011110010000010111100110110101001001,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      1,      0,      1,      1,      1,      0,      1,      1,      1,      1
        3, 001100110000010001011001111100001000000000100110010110001111,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      0,      1,      1,      1,      0,      1,      1,      1,      1
        4, 100011000010101100100000011101001011111100100010010000000100,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0
        5, 001110101101110010001010011011010010001101011100110010101100,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      1,      0,      0,      0
        6, 000101001101000110000100110100101001110000111011110010100111,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      1,      0,      1,      1,      0,      1,      1,      0,      1
        7, 101010100110110111111001101101101111101001100100000010110111,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      1,      0,      0,      0,      0,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0
        8, 000010010001011111011101101101011100001000111110011011011110,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      1,      0,      1,      1,      1,      0,      0,      0,      0,      1,      1
        9, 101110111010010010100111011111110100100000000001001110001001,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      1,      0,      0,      1,      0,      0,      0,      1,      1
       10, 110000100111010110111010111111001101110110101111100001101110,      0,      0,      0,      0,      0,      1,      0,      0,      1,      1,      1,      0,      0,      0,      0,      1,      1,      1,      0,      0,      1,      1,      1,      1,      0,      0
       11, 010101111111111100010000111001010100100101001111100110011000,      1,      0,      1,      0,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      0,      1,      1,      1
       12, 010001011111100001000000011110011100101000100001110111111001,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      1,      1
       13, 110000100111011011111001111101011101011001110010111000010100,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      1,      1
       14, 010011111101010001111011101111111001010111101001010100100111,      0,      0,      1,      1,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      0,      1,      1,      1
       15, 101111000100100101001011110010000101001111011001111111011001,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0,      1,      1,      0,      1,      0,      1,      1,      1,      1
       16, 111011001101001000110100111000110111101000110101011111001010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      1,      0,      1,      1,      1,      1,      1,      1,      0,      1,      1,      1,      1,      1
       17, 011100001100001111010111010110101101100100001000000010010010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0
       18, 000010100100100111010011001110110010001111110001101111101111,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      0,      1,      1,      1,      0,      1,      0,      1,      1,      1,      1
       19, 101000010100101110111000100110101010011110001000001111011100,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      1,      1,      0,      0,      0,      0,      1,      0,      0
       20, 000011111110011011100100010011100110010101010101111101010110,      0,      1,      1,      1,      0,      1,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      0,      1,      1,      1,      1
       21, 100110111010000110000100000111110101111010111001100110101100,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      1,      1,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
       22, 101000011011111101010111010011100111001101100110000010010100,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0
       23, 001011011100110111111000101100100110100110101101010010100011,      1,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      0,      0,      1,      0,      1
       24, 011000100101010001100100011010100100110111010100100110110001,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      0,      0,      1,      1,      1,      1,      1,      1,      0
       25, 010000111110011011011111101111010101100111110111011100110001,      0,      0,      0,      0,      0,      1,      1,      0,      0,      1,      1,      0,      0,      0,      1,      1,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1
       26, 000011100111100111100001101110110000101011011001000001011100,      0,      1,      0,      1,      0,      1,      0,      0,      1,      0,      1,      0,      0,      0,      0,      1,      0,      1,      0,      0,      1,      0,      0,      0,      0,      0
       27, 011111001011100010001001011010101000010000101011110111000111,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      1,      1,      0,      1,      0,      1,      1,      1,      1
       28, 101011110101010110000111001100111110011001001111001011110100,      1,      1,      1,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      1,      0,      1,      1
       29, 110111000111100100001110011011111101101101100101000000111010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      1,      0,      0,      0,      0
       30, 110001111011111001101101111110111010101111001100000000011100,      0,      0,      1,      1,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0
       31, 001110111000001001101001011110110010110011001110100011001101,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      0,      1,      0,      1,      0,      0,      0,      0,      0
       32, 111011000110110110001011110001100000011001010101101101100001,      0,      0,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      0,      0,      0,      1,      1,      1,      0,      1,      0,      0,      1,      0,      1,      0
