fault_id,fault,s1_detected,s1_detecting_vectors,s1_first_detected,s1_po_mismatches,s2b_detected,s2b_detecting_vectors,s2b_first_detected,s2b_po_mismatches,detection_improved,detection_lost,detecting_vector_change,po_mismatch_change
1,1->269/SA1,True,63,17.0,63,True,64,7.0,64,False,False,1,1
2,1->270/SA1,True,63,5.0,63,True,56,3.0,56,False,False,-7,-7
3,1->276/SA1,True,137,5.0,222,True,120,1.0,203,False,False,-17,-19
4,1->279/SA1,True,33,17.0,61,True,32,7.0,54,False,False,-1,-7
5,1->280/SA1,True,22,71.0,26,True,19,17.0,23,False,False,-3,-3
6,1->483/SA1,True,327,1.0,524,True,319,1.0,549,False,False,-8,25
7,1/SA0,True,392,9.0,829,True,400,11.0,837,False,False,8,8
8,1/SA1,True,410,1.0,872,True,390,1.0,849,False,False,-20,-23
9,101->303/SA1,True,249,7.0,249,True,253,9.0,253,False,False,4,4
10,101->304/SA0,True,247,6.0,247,True,249,2.0,249,False,False,2,2
11,101->334/SA1,True,111,8.0,111,True,134,6.0,134,False,False,23,23
12,101->506/SA1,True,5,144.0,6,True,10,33.0,12,False,False,5,6
13,101/SA0,True,509,2.0,659,True,481,1.0,594,False,False,-28,-65
14,101/SA1,True,515,1.0,632,True,543,6.0,689,False,False,28,57
15,106->303/SA1,True,247,6.0,247,True,249,2.0,249,False,False,2,2
16,106->304/SA0,True,249,7.0,249,True,253,9.0,253,False,False,4,4
17,106->335/SA1,True,123,6.0,123,True,121,10.0,121,False,False,-2,-2
18,106->508/SA1,True,6,137.0,6,True,14,49.0,14,False,False,8,8
19,106/SA0,True,511,2.0,647,True,485,1.0,614,False,False,-26,-33
20,106/SA1,True,513,1.0,642,True,539,2.0,674,False,False,26,32
21,111->305/SA1,True,263,5.0,263,True,265,3.0,265,False,False,2,2
22,111->306/SA0,True,236,1.0,236,True,262,11.0,262,False,False,26,26
23,111->336/SA1,True,93,5.0,93,True,91,6.0,91,False,False,-2,-2
24,111->511/SA1,True,13,56.0,18,True,11,106.0,13,False,False,-2,-5
25,111/SA0,True,514,1.0,621,True,499,1.0,601,False,False,-15,-20
26,111/SA1,True,510,5.0,621,True,525,3.0,629,False,False,15,8
27,116->305/SA1,True,236,1.0,236,True,262,11.0,262,False,False,26,26
28,116->306/SA0,True,263,5.0,263,True,265,3.0,265,False,False,2,2
29,116->338/SA1,True,91,4.0,91,True,81,12.0,81,False,False,-10,-10
30,116->513/SA1,True,9,176.0,9,True,11,49.0,11,False,False,2,2
31,116/SA0,True,541,2.0,653,True,502,1.0,606,False,False,-39,-47
32,116/SA1,True,483,1.0,583,True,522,6.0,614,False,False,39,31
33,121->307/SA1,True,265,1.0,265,True,274,2.0,274,False,False,9,9
34,121->308/SA0,True,250,4.0,250,True,255,3.0,255,False,False,5,5
35,121->340/SA1,True,96,2.0,96,True,98,1.0,98,False,False,2,2
36,121->515/SA1,True,10,39.0,10,True,12,16.0,13,False,False,2,3
37,121/SA0,True,489,4.0,588,True,503,3.0,597,False,False,14,9
38,121/SA1,True,535,1.0,641,True,521,1.0,632,False,False,-14,-9
39,126->307/SA1,True,250,4.0,250,True,255,3.0,255,False,False,5,5
40,126->308/SA0,True,265,1.0,265,True,274,2.0,274,False,False,9,9
41,126->517/SA1,True,14,39.0,15,True,10,33.0,10,False,False,-4,-5
42,126/SA0,True,504,1.0,519,True,522,2.0,531,False,False,18,12
