vector_id,detected_faults,total_collapsed_faults,undetected_faults,fault_coverage_percent
1,145,994,849,14.587525150905433
2,267,994,727,26.86116700201207
3,371,994,623,37.32394366197183
4,403,994,591,40.543259557344065
5,429,994,565,43.158953722334005
6,485,994,509,48.79275653923541
7,514,994,480,51.710261569416495
8,524,994,470,52.716297786720325
9,551,994,443,55.43259557344064
10,563,994,431,56.63983903420523
11,589,994,405,59.25553319919518
12,608,994,386,61.16700201207244
13,632,994,362,63.581488933601605
14,637,994,357,64.08450704225352
15,668,994,326,67.20321931589537
16,687,994,307,69.11468812877264
17,691,994,303,69.51710261569416
18,698,994,296,70.22132796780684
19,701,994,293,70.52313883299799
20,716,994,278,72.03219315895373
21,725,994,269,72.93762575452716
22,739,994,255,74.34607645875252
23,742,994,252,74.64788732394366
24,742,994,252,74.64788732394366
25,746,994,248,75.0503018108652
26,746,994,248,75.0503018108652
27,753,994,241,75.75452716297787
28,762,994,232,76.65995975855131
29,764,994,230,76.86116700201208
30,764,994,230,76.86116700201208
31,783,994,211,78.77263581488934
32,788,994,206,79.27565392354124
33,807,994,187,81.18712273641852
34,809,994,185,81.38832997987927
35,810,994,184,81.48893360160966
36,810,994,184,81.48893360160966
37,813,994,181,81.7907444668008
38,816,994,178,82.09255533199196
39,816,994,178,82.09255533199196
40,816,994,178,82.09255533199196
41,816,994,178,82.09255533199196
42,817,994,177,82.19315895372233
43,819,994,175,82.3943661971831
44,830,994,164,83.5010060362173
45,830,994,164,83.5010060362173
46,831,994,163,83.60160965794769
47,831,994,163,83.60160965794769
48,832,994,162,83.70221327967808
49,839,994,155,84.40643863179075
50,839,994,155,84.40643863179075
51,839,994,155,84.40643863179075
52,840,994,154,84.50704225352112
53,842,994,152,84.70824949698189
54,842,994,152,84.70824949698189
55,842,994,152,84.70824949698189
56,844,994,150,84.90945674044266
57,848,994,146,85.3118712273642
58,853,994,141,85.8148893360161
59,853,994,141,85.8148893360161
60,853,994,141,85.8148893360161
61,853,994,141,85.8148893360161
62,856,994,138,86.11670020120724
63,856,994,138,86.11670020120724
64,859,994,135,86.4185110663984
65,859,994,135,86.4185110663984
66,859,994,135,86.4185110663984
67,859,994,135,86.4185110663984
68,859,994,135,86.4185110663984
69,859,994,135,86.4185110663984
70,861,994,133,86.61971830985915
71,861,994,133,86.61971830985915
72,862,994,132,86.72032193158954
73,862,994,132,86.72032193158954
74,864,994,130,86.92152917505031
75,864,994,130,86.92152917505031
76,866,994,128,87.12273641851107
77,866,994,128,87.12273641851107
78,866,994,128,87.12273641851107
79,866,994,128,87.12273641851107
80,866,994,128,87.12273641851107
81,867,994,127,87.22334004024145
82,867,994,127,87.22334004024145
83,867,994,127,87.22334004024145
84,867,994,127,87.22334004024145
85,868,994,126,87.32394366197182
86,868,994,126,87.32394366197182
87,868,994,126,87.32394366197182
88,869,994,125,87.42454728370221
89,869,994,125,87.42454728370221
90,869,994,125,87.42454728370221
91,870,994,124,87.5251509054326
92,870,994,124,87.5251509054326
93,871,994,123,87.62575452716298
94,871,994,123,87.62575452716298
95,871,994,123,87.62575452716298
96,872,994,122,87.72635814889335
97,872,994,122,87.72635814889335
98,872,994,122,87.72635814889335
99,872,994,122,87.72635814889335
100,872,994,122,87.72635814889335
101,872,994,122,87.72635814889335
102,872,994,122,87.72635814889335
103,872,994,122,87.72635814889335
104,872,994,122,87.72635814889335
105,872,994,122,87.72635814889335
106,873,994,121,87.82696177062374
107,873,994,121,87.82696177062374
108,874,994,120,87.92756539235413
109,874,994,120,87.92756539235413
110,876,994,118,88.12877263581488
111,881,994,113,88.6317907444668
112,881,994,113,88.6317907444668
113,881,994,113,88.6317907444668
114,881,994,113,88.6317907444668
115,881,994,113,88.6317907444668
116,881,994,113,88.6317907444668
117,881,994,113,88.6317907444668
118,883,994,111,88.83299798792757
119,883,994,111,88.83299798792757
120,883,994,111,88.83299798792757
121,883,994,111,88.83299798792757
122,883,994,111,88.83299798792757
123,884,994,110,88.93360160965796
124,884,994,110,88.93360160965796
125,884,994,110,88.93360160965796
126,884,994,110,88.93360160965796
127,884,994,110,88.93360160965796
128,887,994,107,89.2354124748491
129,887,994,107,89.2354124748491
130,887,994,107,89.2354124748491
131,887,994,107,89.2354124748491
132,887,994,107,89.2354124748491
133,887,994,107,89.2354124748491
134,887,994,107,89.2354124748491
135,887,994,107,89.2354124748491
136,887,994,107,89.2354124748491
137,892,994,102,89.738430583501
138,892,994,102,89.738430583501
139,893,994,101,89.83903420523139
140,893,994,101,89.83903420523139
141,893,994,101,89.83903420523139
142,893,994,101,89.83903420523139
143,893,994,101,89.83903420523139
144,894,994,100,89.93963782696177
145,896,994,98,90.14084507042254
146,899,994,95,90.44265593561369
147,899,994,95,90.44265593561369
148,899,994,95,90.44265593561369
149,899,994,95,90.44265593561369
150,899,994,95,90.44265593561369
151,900,994,94,90.54325955734407
152,900,994,94,90.54325955734407
153,900,994,94,90.54325955734407
154,900,994,94,90.54325955734407
155,901,994,93,90.64386317907444
156,901,994,93,90.64386317907444
157,901,994,93,90.64386317907444
158,901,994,93,90.64386317907444
159,901,994,93,90.64386317907444
160,901,994,93,90.64386317907444
161,901,994,93,90.64386317907444
162,901,994,93,90.64386317907444
163,901,994,93,90.64386317907444
164,901,994,93,90.64386317907444
165,901,994,93,90.64386317907444
166,901,994,93,90.64386317907444
167,901,994,93,90.64386317907444
168,901,994,93,90.64386317907444
169,901,994,93,90.64386317907444
170,901,994,93,90.64386317907444
171,901,994,93,90.64386317907444
172,901,994,93,90.64386317907444
173,902,994,92,90.74446680080483
174,902,994,92,90.74446680080483
175,902,994,92,90.74446680080483
176,902,994,92,90.74446680080483
177,902,994,92,90.74446680080483
178,902,994,92,90.74446680080483
179,902,994,92,90.74446680080483
180,902,994,92,90.74446680080483
181,903,994,91,90.84507042253522
182,903,994,91,90.84507042253522
183,903,994,91,90.84507042253522
184,903,994,91,90.84507042253522
185,903,994,91,90.84507042253522
186,903,994,91,90.84507042253522
187,903,994,91,90.84507042253522
188,904,994,90,90.94567404426559
189,904,994,90,90.94567404426559
190,904,994,90,90.94567404426559
191,904,994,90,90.94567404426559
192,904,994,90,90.94567404426559
193,904,994,90,90.94567404426559
194,904,994,90,90.94567404426559
195,904,994,90,90.94567404426559
196,904,994,90,90.94567404426559
197,905,994,89,91.04627766599597
198,905,994,89,91.04627766599597
199,905,994,89,91.04627766599597
200,905,994,89,91.04627766599597
201,905,994,89,91.04627766599597
202,905,994,89,91.04627766599597
203,905,994,89,91.04627766599597
204,905,994,89,91.04627766599597
205,905,994,89,91.04627766599597
206,905,994,89,91.04627766599597
207,905,994,89,91.04627766599597
208,905,994,89,91.04627766599597
209,906,994,88,91.14688128772636
210,906,994,88,91.14688128772636
211,907,994,87,91.24748490945674
212,907,994,87,91.24748490945674
213,907,994,87,91.24748490945674
214,907,994,87,91.24748490945674
215,907,994,87,91.24748490945674
216,907,994,87,91.24748490945674
217,907,994,87,91.24748490945674
218,907,994,87,91.24748490945674
219,907,994,87,91.24748490945674
220,907,994,87,91.24748490945674
221,907,994,87,91.24748490945674
222,907,994,87,91.24748490945674
223,907,994,87,91.24748490945674
224,907,994,87,91.24748490945674
225,907,994,87,91.24748490945674
226,907,994,87,91.24748490945674
227,907,994,87,91.24748490945674
228,907,994,87,91.24748490945674
229,908,994,86,91.34808853118712
230,908,994,86,91.34808853118712
231,908,994,86,91.34808853118712
232,908,994,86,91.34808853118712
233,908,994,86,91.34808853118712
234,908,994,86,91.34808853118712
235,908,994,86,91.34808853118712
236,908,994,86,91.34808853118712
237,908,994,86,91.34808853118712
238,908,994,86,91.34808853118712
239,908,994,86,91.34808853118712
240,908,994,86,91.34808853118712
241,908,994,86,91.34808853118712
242,908,994,86,91.34808853118712
243,909,994,85,91.44869215291752
244,909,994,85,91.44869215291752
245,909,994,85,91.44869215291752
246,909,994,85,91.44869215291752
247,909,994,85,91.44869215291752
248,909,994,85,91.44869215291752
249,909,994,85,91.44869215291752
250,909,994,85,91.44869215291752
251,910,994,84,91.54929577464789
252,910,994,84,91.54929577464789
253,911,994,83,91.64989939637826
254,911,994,83,91.64989939637826
255,911,994,83,91.64989939637826
256,911,994,83,91.64989939637826
257,911,994,83,91.64989939637826
258,911,994,83,91.64989939637826
259,911,994,83,91.64989939637826
260,911,994,83,91.64989939637826
261,911,994,83,91.64989939637826
262,911,994,83,91.64989939637826
263,911,994,83,91.64989939637826
264,911,994,83,91.64989939637826
265,911,994,83,91.64989939637826
266,911,994,83,91.64989939637826
267,911,994,83,91.64989939637826
268,911,994,83,91.64989939637826
269,911,994,83,91.64989939637826
270,911,994,83,91.64989939637826
271,911,994,83,91.64989939637826
272,911,994,83,91.64989939637826
273,911,994,83,91.64989939637826
274,911,994,83,91.64989939637826
275,911,994,83,91.64989939637826
276,911,994,83,91.64989939637826
277,911,994,83,91.64989939637826
278,911,994,83,91.64989939637826
279,911,994,83,91.64989939637826
280,911,994,83,91.64989939637826
281,911,994,83,91.64989939637826
282,911,994,83,91.64989939637826
283,911,994,83,91.64989939637826
284,911,994,83,91.64989939637826
285,911,994,83,91.64989939637826
286,911,994,83,91.64989939637826
287,911,994,83,91.64989939637826
288,911,994,83,91.64989939637826
289,911,994,83,91.64989939637826
290,911,994,83,91.64989939637826
291,911,994,83,91.64989939637826
292,911,994,83,91.64989939637826
293,911,994,83,91.64989939637826
294,911,994,83,91.64989939637826
295,911,994,83,91.64989939637826
296,911,994,83,91.64989939637826
297,911,994,83,91.64989939637826
298,911,994,83,91.64989939637826
299,911,994,83,91.64989939637826
300,911,994,83,91.64989939637826
301,911,994,83,91.64989939637826
302,911,994,83,91.64989939637826
303,911,994,83,91.64989939637826
304,911,994,83,91.64989939637826
305,911,994,83,91.64989939637826
306,911,994,83,91.64989939637826
307,911,994,83,91.64989939637826
308,911,994,83,91.64989939637826
309,911,994,83,91.64989939637826
310,911,994,83,91.64989939637826
311,911,994,83,91.64989939637826
312,911,994,83,91.64989939637826
313,911,994,83,91.64989939637826
314,911,994,83,91.64989939637826
315,911,994,83,91.64989939637826
316,911,994,83,91.64989939637826
317,911,994,83,91.64989939637826
318,911,994,83,91.64989939637826
319,911,994,83,91.64989939637826
320,911,994,83,91.64989939637826
321,911,994,83,91.64989939637826
322,911,994,83,91.64989939637826
323,911,994,83,91.64989939637826
324,911,994,83,91.64989939637826
325,911,994,83,91.64989939637826
326,911,994,83,91.64989939637826
327,911,994,83,91.64989939637826
328,911,994,83,91.64989939637826
329,911,994,83,91.64989939637826
330,911,994,83,91.64989939637826
331,911,994,83,91.64989939637826
332,911,994,83,91.64989939637826
333,911,994,83,91.64989939637826
334,911,994,83,91.64989939637826
335,911,994,83,91.64989939637826
336,911,994,83,91.64989939637826
337,911,994,83,91.64989939637826
338,911,994,83,91.64989939637826
339,911,994,83,91.64989939637826
340,911,994,83,91.64989939637826
341,911,994,83,91.64989939637826
342,911,994,83,91.64989939637826
343,911,994,83,91.64989939637826
344,911,994,83,91.64989939637826
345,911,994,83,91.64989939637826
346,911,994,83,91.64989939637826
347,911,994,83,91.64989939637826
348,911,994,83,91.64989939637826
349,911,994,83,91.64989939637826
350,911,994,83,91.64989939637826
351,911,994,83,91.64989939637826
352,911,994,83,91.64989939637826
353,911,994,83,91.64989939637826
354,911,994,83,91.64989939637826
355,911,994,83,91.64989939637826
356,911,994,83,91.64989939637826
357,911,994,83,91.64989939637826
358,911,994,83,91.64989939637826
359,911,994,83,91.64989939637826
360,911,994,83,91.64989939637826
361,911,994,83,91.64989939637826
362,911,994,83,91.64989939637826
363,911,994,83,91.64989939637826
364,911,994,83,91.64989939637826
365,911,994,83,91.64989939637826
366,911,994,83,91.64989939637826
367,911,994,83,91.64989939637826
368,911,994,83,91.64989939637826
369,911,994,83,91.64989939637826
370,911,994,83,91.64989939637826
371,911,994,83,91.64989939637826
372,911,994,83,91.64989939637826
373,911,994,83,91.64989939637826
374,911,994,83,91.64989939637826
375,911,994,83,91.64989939637826
376,911,994,83,91.64989939637826
377,911,994,83,91.64989939637826
378,911,994,83,91.64989939637826
379,911,994,83,91.64989939637826
380,911,994,83,91.64989939637826
381,911,994,83,91.64989939637826
382,911,994,83,91.64989939637826
383,911,994,83,91.64989939637826
384,911,994,83,91.64989939637826
385,911,994,83,91.64989939637826
386,911,994,83,91.64989939637826
387,911,994,83,91.64989939637826
388,911,994,83,91.64989939637826
389,911,994,83,91.64989939637826
390,911,994,83,91.64989939637826
391,911,994,83,91.64989939637826
392,911,994,83,91.64989939637826
393,911,994,83,91.64989939637826
394,911,994,83,91.64989939637826
395,913,994,81,91.85110663983903
396,913,994,81,91.85110663983903
397,913,994,81,91.85110663983903
398,913,994,81,91.85110663983903
399,914,994,80,91.95171026156942
400,914,994,80,91.95171026156942
401,914,994,80,91.95171026156942
402,914,994,80,91.95171026156942
403,914,994,80,91.95171026156942
404,914,994,80,91.95171026156942
405,914,994,80,91.95171026156942
406,914,994,80,91.95171026156942
407,914,994,80,91.95171026156942
408,914,994,80,91.95171026156942
409,914,994,80,91.95171026156942
410,914,994,80,91.95171026156942
411,914,994,80,91.95171026156942
412,914,994,80,91.95171026156942
413,914,994,80,91.95171026156942
414,914,994,80,91.95171026156942
415,914,994,80,91.95171026156942
416,914,994,80,91.95171026156942
417,914,994,80,91.95171026156942
418,914,994,80,91.95171026156942
419,914,994,80,91.95171026156942
420,914,994,80,91.95171026156942
421,914,994,80,91.95171026156942
422,914,994,80,91.95171026156942
