fault_id,fault,fault_type,source,location,is_branch,detected,detecting_vector_count,first_detecting_vector,total_po_mismatches,PO_388,PO_389,PO_390,PO_391,PO_418,PO_419,PO_420,PO_421,PO_422,PO_423,PO_446,PO_447,PO_448,PO_449,PO_450,PO_767,PO_768,PO_850,PO_863,PO_864,PO_865,PO_866,PO_874,PO_878,PO_879,PO_880
1,1->269/SA1,SA1,1,269,True,True,64,7.0,64,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1->270/SA1,SA1,1,270,True,True,56,3.0,56,0,0,0,0,0,51,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1->276/SA1,SA1,1,276,True,True,120,1.0,203,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,2,3,3,2,26,10,15,10,12
4,1->279/SA1,SA1,1,279,True,True,32,7.0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,14,6,7,5,7
5,1->280/SA1,SA1,1,280,True,True,19,17.0,23,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,0,1,0,0,0,0,0,0,0,0
6,1->483/SA1,SA1,1,483,True,True,319,1.0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,134,104,92,18,68,12,15,28
7,1/SA0,SA0,1,1,False,True,400,11.0,837,0,0,0,0,50,47,0,0,0,0,8,131,14,7,0,0,0,68,119,92,95,45,66,19,32,44
8,1/SA1,SA1,1,1,False,True,390,1.0,849,0,0,0,0,64,51,0,0,0,0,5,120,14,8,0,0,0,71,119,95,87,53,68,28,27,39
9,101->303/SA1,SA1,101,303,True,True,253,9.0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0
10,101->304/SA0,SA0,101,304,True,True,249,2.0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0
11,101->334/SA1,SA1,101,334,True,True,134,6.0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0
12,101->506/SA1,SA1,101,506,True,True,10,33.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,7
13,101/SA0,SA0,101,101,False,True,481,1.0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,0,0,0,2,103,0,2,6
14,101/SA1,SA1,101,101,False,True,543,6.0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,2,134,1,2,7
15,106->303/SA1,SA1,106,303,True,True,249,2.0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0
16,106->304/SA0,SA0,106,304,True,True,253,9.0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0
17,106->335/SA1,SA1,106,335,True,True,121,10.0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0
18,106->508/SA1,SA1,106,508,True,True,14,49.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1
19,106/SA0,SA0,106,106,False,True,485,1.0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,113,0,0,0,12,0,1,3
20,106/SA1,SA1,106,106,False,True,539,2.0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,121,0,0,0,13,0,0,1
21,111->305/SA1,SA1,111,305,True,True,265,3.0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0
22,111->306/SA0,SA0,111,306,True,True,262,11.0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0
23,111->336/SA1,SA1,111,336,True,True,91,6.0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0
24,111->511/SA1,SA1,111,511,True,True,11,106.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,2,2,0,2
25,111/SA0,SA0,111,111,False,True,499,1.0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,9,85,0,0,4,0,1,3
26,111/SA1,SA1,111,111,False,True,525,3.0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,6,91,0,1,2,2,0,2
27,116->305/SA1,SA1,116,305,True,True,262,11.0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0
28,116->306/SA0,SA0,116,306,True,True,265,3.0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0
29,116->338/SA1,SA1,116,338,True,True,81,12.0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
30,116->513/SA1,SA1,116,513,True,True,11,49.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0
31,116/SA0,SA0,116,116,False,True,502,1.0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,3,8,90,0,1,0,1,1
32,116/SA1,SA1,116,116,False,True,522,6.0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,10,81,1,0,0,0,0
33,121->307/SA1,SA1,121,307,True,True,274,2.0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0
34,121->308/SA0,SA0,121,308,True,True,255,3.0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0
35,121->340/SA1,SA1,121,340,True,True,98,1.0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0
36,121->515/SA1,SA1,121,515,True,True,12,16.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,1,1,0,0
37,121/SA0,SA0,121,121,False,True,503,3.0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,82,1,3,8,0,0,0,0,0
38,121/SA1,SA1,121,121,False,True,521,1.0,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,0,98,0,3,8,0,1,1,0,0
39,126->307/SA1,SA1,126,307,True,True,255,3.0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0
40,126->308/SA0,SA0,126,308,True,True,274,2.0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0
41,126->517/SA1,SA1,126,517,True,True,10,33.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,1,0,0
42,126/SA0,SA0,126,126,False,True,522,2.0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,7,1,1,0,0,0,0,0,0
43,126/SA1,SA1,126,126,False,True,502,1.0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,7,0,0,2,0,0,1,0,0
44,13->269/SA1,SA1,13,269,True,True,66,9.0,66,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,13->270/SA1,SA1,13,270,True,True,56,9.0,56,0,0,0,0,0,49,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,13->280/SA1,SA1,13,280,True,True,18,57.0,21,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,1,0,0
47,13/SA0,SA0,13,13,False,True,90,12.0,126,0,0,0,0,50,47,0,0,0,0,8,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0
48,13/SA1,SA1,13,13,False,True,105,9.0,143,0,0,0,0,66,49,0,0,0,0,7,0,12,8,0,0,0,0,0,0,0,0,0,1,0,0
49,130->498/SA1,SA1,130,498,True,True,255,2.0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0
50,130->499/SA0,SA0,130,499,True,True,263,6.0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0
51,130->518/SA1,SA1,130,518,True,True,259,2.0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0
52,130->519/SA0,SA0,130,519,True,True,256,5.0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0
53,130/SA0,SA0,130,130,False,True,509,5.0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,509,0,0,0,0,0,0,0,0,0
54,130/SA1,SA1,130,130,False,True,515,1.0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,515,0,0,0,0,0,0,0,0,0
55,135->500/SA1,SA1,135,500,True,True,236,6.0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0
56,135->501/SA0,SA0,135,501,True,True,241,1.0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0
57,135/SA0,SA0,135,135,False,True,525,1.0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0
58,135/SA1,SA1,135,135,False,True,499,6.0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0
59,138->309/SA1,SA1,138,309,True,True,184,6.0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,97,0,0
60,138->316/SA1,SA1,138,316,True,True,173,3.0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,37,112,0
61,138->317/SA1,SA1,138,317,True,True,144,3.0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,12,32,100
62,138->318/SA1,SA1,138,318,True,True,156,7.0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,102,6,19,42
63,138/SA0,SA0,138,138,False,True,369,1.0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,104,129,131,107
64,138/SA1,SA1,138,138,False,True,390,3.0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,102,119,125,118
65,143->475/SA1,SA1,143,475,True,True,20,70.0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0
66,143->510/SA1,SA1,143,510,True,True,148,5.0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,9,34,4,9,23
67,143/SA0,SA0,143,143,False,True,155,2.0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,15,41,16,10,18
68,143/SA1,SA1,143,143,False,True,163,5.0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,23,34,17,9,23
69,146->477/SA1,SA1,146,477,True,True,5,33.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0
70,146->512/SA1,SA1,146,512,True,True,111,2.0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,82,0,7,17,0,3,7
71,146/SA0,SA0,146,146,False,True,125,13.0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,87,0,3,16,2,6,6
72,146/SA1,SA1,146,146,False,True,115,2.0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,82,0,9,17,1,7,7
73,149->479/SA1,SA1,149,479,True,True,15,23.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,12
74,149->514/SA1,SA1,149,514,True,True,114,18.0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,82,2,9,2,3,5
75,149/SA0,SA0,149,149,False,True,125,4.0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,78,8,12,2,2,14
76,149/SA1,SA1,149,149,False,True,126,18.0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,82,7,9,2,4,17
77,152/SA0,SA0,152,152,False,True,134,2.0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,104,5,10,18
78,152/SA1,SA1,152,152,False,True,118,11.0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,90,9,10,20
79,153->481/SA1,SA1,153,481,True,True,13,70.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,1,4
80,153->516/SA1,SA1,153,516,True,True,104,3.0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,9,6,16,2,4,0,0,2
81,153/SA0,SA0,153,153,False,True,116,1.0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,8,11,25,3,10,2,3,4
82,153/SA1,SA1,153,153,False,True,116,3.0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,9,6,16,6,13,1,1,6
83,156->319/SA1,SA1,156,319,True,True,12,15.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,2,6,1,4
84,156->442/SA1,SA1,156,442,True,True,11,15.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,5,2,1,1,3
85,156/SA0,SA0,156,156,False,True,18,28.0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,2,12,4,6,4,4
86,156/SA1,SA1,156,156,False,True,18,15.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,2,10,1,6,0,6
87,159->324/SA1,SA1,159,324,True,True,242,8.0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0
88,159->325/SA0,SA0,159,325,True,True,295,1.0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0
89,159->522/SA1,SA1,159,522,True,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,159->590/SA1,SA1,159,590,True,True,95,2.0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,25,0,0
91,159->593/SA0,SA0,159,593,True,True,232,3.0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,191,0,0
92,159/SA0,SA0,159,159,False,True,516,1.0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,152,0,215,0,0
93,159/SA1,SA1,159,159,False,True,508,2.0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,154,0,203,0,0
94,165->324/SA1,SA1,165,324,True,True,295,1.0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0
95,165->325/SA0,SA0,165,325,True,True,242,8.0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0
96,165->523/SA1,SA1,165,523,True,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,165->597/SA1,SA1,165,597,True,True,77,1.0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,15,36,0
98,165->600/SA0,SA0,165,600,True,True,208,9.0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,18,174,0
99,165/SA0,SA0,165,165,False,True,463,4.0,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,76,0,23,195,0
100,165/SA1,SA1,165,165,False,True,561,1.0,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0,0,95,0,29,242,0
101,17->269/SA1,SA1,17,269,True,True,65,22.0,65,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,17->270/SA1,SA1,17,270,True,True,63,23.0,63,0,0,0,0,0,53,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,17->279/SA1,SA1,17,279,True,True,50,22.0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,12,10,17,10,7,6,15
104,17->317/SA1,SA1,17,317,True,True,125,2.0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,12,15,86
105,17->322/SA0,SA0,17,322,True,True,2,395.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0
