rank, signal, gate, level, fanout, PO_count, PO_impact           , PO_impact_%        , reachable_POs
   1,      1,     ,     0,      6,       15, 0.5769230769230769  , 57.692307692307686 , "['418', '419', '446', '447', '448', '449', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
   2,     29,     ,     0,      6,       15, 0.5769230769230769  , 57.692307692307686 , "['388', '389', '390', '419', '446', '448', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
   3,     42,     ,     0,      8,       14, 0.5384615384615384  , 53.84615384615385  , "['388', '390', '419', '422', '446', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
   4,     59,     ,     0,      8,       13, 0.5                 , 50.0               , "['420', '421', '422', '449', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
   5,     13,     ,     0,      3,       13, 0.5                 , 50.0               , "['418', '419', '446', '448', '449', '850', '863', '864', '865', '874', '878', '879', '880']"
   6,     17,     ,     0,      8,       12, 0.46153846153846156 , 46.15384615384615  , "['418', '419', '446', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
   7,      8,     ,     0,      4,       12, 0.46153846153846156 , 46.15384615384615  , "['418', '448', '449', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
   8,     80,     ,     0,      4,       12, 0.46153846153846156 , 46.15384615384615  , "['389', '420', '421', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
   9,     26,     ,     0,      2,       12, 0.46153846153846156 , 46.15384615384615  , "['419', '446', '447', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
  10,     75,     ,     0,      4,       11, 0.4230769230769231  , 42.30769230769231  , "['388', '420', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
  11,     55,     ,     0,      3,       11, 0.4230769230769231  , 42.30769230769231  , "['448', '449', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
  12,    201,     ,     0,      5,       10, 0.38461538461538464 , 38.46153846153847  , "['768', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
  13,    121,     ,     0,      4,       10, 0.38461538461538464 , 38.46153846153847  , "['767', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
  14,     51,     ,     0,      3,       10, 0.38461538461538464 , 38.46153846153847  , "['447', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
  15,     68,     ,     0,      3,       10, 0.38461538461538464 , 38.46153846153847  , "['448', '449', '850', '863', '864', '865', '874', '878', '879', '880']"
  16,    126,     ,     0,      3,       10, 0.38461538461538464 , 38.46153846153847  , "['767', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
  17,    280, NAND,     1,      3,       10, 0.38461538461538464 , 38.46153846153847  , "['448', '449', '850', '863', '864', '865', '874', '878', '879', '880']"
  18,    276, AND ,     1,      2,       10, 0.38461538461538464 , 38.46153846153847  , "['447', '850', '863', '864', '865', '866', '874', '878', '879', '880']"
